STD_YYYYMM,hs_code,country_code,country_name,export_weight_kg,export_value_usd,import_weight_kg,import_value_usd,trade_balance_usd,provider,source_endpoint,retrieved_at
2018-01,1701990000,ALL,,16766162,8495070,3817256,2308403,6186667,korea_customs_service,https://apis.data.go.kr/1220000/Itemtrade/getItemtradeList,2026-08-10T15:32:17.885229+00:00
2018-02,1701990000,ALL,,11659935,5940975,12288569,6628336,-687361,korea_customs_service,https://apis.data.go.kr/1220000/Itemtrade/getItemtradeList,2026-08-10T15:32:17.885229+00:00
2018-03,1701990000,ALL,,28955503,14113371,10078020,5463530,8649841,korea_customs_service,https://apis.data.go.kr/1220000/Itemtrade/getItemtradeList,2026-08-10T15:32:17.885229+00:00
2018-04,1701990000,ALL,,29776994,15087355,9110505,4612697,10474658,korea_customs_service,https://apis.data.go.kr/1220000/Itemtrade/getItemtradeList,2026-08-10T15:32:17.885229+00:00
2018-05,1701990000,ALL,,27911023,13580685,8912655,4468791,9111894,korea_customs_service,https://apis.data.go.kr/1220000/Itemtrade/getItemtradeList,2026-08-10T15:32:17.885229+00:00
2018-06,1701990000,ALL,,24858327,11610956,8730163,4325995,7284961,korea_customs_service,https://apis.data.go.kr/1220000/Itemtrade/getItemtradeList,2026-08-10T15:32:17.885229+00:00
2018-07,1701990000,ALL,,20513477,9584920,9394377,4439295,5145625,korea_customs_service,https://apis.data.go.kr/1220000/Itemtrade/getItemtradeList,2026-08-10T15:32:17.885229+00:00
2018-08,1701990000,ALL,,27607963,12583054,11076173,5620054,6963000,korea_customs_service,https://apis.data.go.kr/1220000/Itemtrade/getItemtradeList,2026-08-10T15:32:17.885229+00:00
2018-09,1701990000,ALL,,26629449,12116776,6879960,3266884,8849892,korea_customs_service,https://apis.data.go.kr/1220000/Itemtrade/getItemtradeList,2026-08-10T15:32:17.885229+00:00
2018-10,1701990000,ALL,,30207880,13291651,10475643,4853974,8437677,korea_customs_service,https://apis.data.go.kr/1220000/Itemtrade/getItemtradeList,2026-08-10T15:32:17.885229+00:00
2018-11,1701990000,ALL,,27190467,11718299,9382154,4206130,7512169,korea_customs_service,https://apis.data.go.kr/1220000/Itemtrade/getItemtradeList,2026-08-10T15:32:17.885229+00:00
2018-12,1701990000,ALL,,27587001,11740773,7183718,3370499,8370274,korea_customs_service,https://apis.data.go.kr/1220000/Itemtrade/getItemtradeList,2026-08-10T15:32:17.885229+00:00
