STD_YYYYMM,hs_code,country_code,country_name,export_weight_kg,export_value_usd,import_weight_kg,import_value_usd,trade_balance_usd,provider,source_endpoint,retrieved_at
2023-01,1701990000,AE,아랍에미리트 연합,1162,1625,9,44,1581,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:34.845925+00:00
2023-02,1701990000,AE,아랍에미리트 연합,884,328,0,0,328,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:34.845925+00:00
2023-03,1701990000,AE,아랍에미리트 연합,0,0,1000,571,-571,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:34.845925+00:00
2023-04,1701990000,AE,아랍에미리트 연합,555,771,0,0,771,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:34.845925+00:00
2023-05,1701990000,AE,아랍에미리트 연합,32,35,0,0,35,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:34.845925+00:00
2023-09,1701990000,AE,아랍에미리트 연합,96,119,0,0,119,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:34.845925+00:00
2023-10,1701990000,AE,아랍에미리트 연합,1216,2304,0,0,2304,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:34.845925+00:00
2023-11,1701990000,AE,아랍에미리트 연합,1160,3160,0,0,3160,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:34.845925+00:00
2023-12,1701990000,AE,아랍에미리트 연합,1440,2170,0,0,2170,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:34.845925+00:00
2024-01,1701990000,AE,아랍에미리트 연합,180,394,0,0,394,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.251581+00:00
2024-02,1701990000,AE,아랍에미리트 연합,75,145,0,0,145,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.251581+00:00
2024-04,1701990000,AE,아랍에미리트 연합,384,664,0,0,664,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.251581+00:00
2024-05,1701990000,AE,아랍에미리트 연합,256,530,0,0,530,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.251581+00:00
2024-06,1701990000,AE,아랍에미리트 연합,160,375,0,0,375,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.251581+00:00
2024-07,1701990000,AE,아랍에미리트 연합,587,1190,1000,533,657,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.251581+00:00
2024-09,1701990000,AE,아랍에미리트 연합,705,1521,0,0,1521,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.251581+00:00
2024-11,1701990000,AE,아랍에미리트 연합,400,919,1000,552,367,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.251581+00:00
2024-12,1701990000,AE,아랍에미리트 연합,160,299,0,0,299,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.251581+00:00
2025-01,1701990000,AE,아랍에미리트 연합,10,55,0,0,55,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.687508+00:00
2025-02,1701990000,AE,아랍에미리트 연합,160,359,0,0,359,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.687508+00:00
2025-06,1701990000,AE,아랍에미리트 연합,80,187,0,0,187,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.687508+00:00
2025-07,1701990000,AE,아랍에미리트 연합,64,160,3,19,141,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.687508+00:00
2025-08,1701990000,AE,아랍에미리트 연합,160,455,0,0,455,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.687508+00:00
2025-09,1701990000,AE,아랍에미리트 연합,1680,2312,0,0,2312,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.687508+00:00
2025-10,1701990000,AE,아랍에미리트 연합,400,809,0,0,809,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.687508+00:00
2025-12,1701990000,AE,아랍에미리트 연합,80,146,0,0,146,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:35.687508+00:00
2026-02,1701990000,AE,아랍에미리트 연합,400,899,0,0,899,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T12:44:36.011207+00:00
2018-01,1701990000,CN,중국,7576090,3717298,16042,13912,3703386,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.370724+00:00
2018-02,1701990000,CN,중국,4152131,1986703,4610,2811,1983892,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.370724+00:00
2018-03,1701990000,CN,중국,18853881,8867601,6356,7574,8860027,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.370724+00:00
2018-04,1701990000,CN,중국,18669233,9053675,52757,24643,9029032,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.370724+00:00
2018-05,1701990000,CN,중국,13590478,6142707,7352,19219,6123488,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.370724+00:00
2018-06,1701990000,CN,중국,14856933,6633895,3452,3600,6630295,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.370724+00:00
2018-07,1701990000,CN,중국,12601029,5577653,2158,2433,5575220,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.370724+00:00
2018-08,1701990000,CN,중국,16903894,7323960,1,43,7323917,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.370724+00:00
2018-09,1701990000,CN,중국,16282152,6981151,5424,7691,6973460,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.370724+00:00
2018-10,1701990000,CN,중국,20811294,8680849,4784,7985,8672864,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.370724+00:00
2018-11,1701990000,CN,중국,18181159,7599059,48,275,7598784,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.370724+00:00
2018-12,1701990000,CN,중국,19685967,8116154,11162,23288,8092866,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.370724+00:00
2019-01,1701990000,CN,중국,14191690,5928639,6474,8513,5920126,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.742669+00:00
2019-02,1701990000,CN,중국,3752518,1443605,69,528,1443077,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.742669+00:00
2019-03,1701990000,CN,중국,9535890,3690406,22584,27875,3662531,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.742669+00:00
2019-04,1701990000,CN,중국,10311802,3901060,98,1190,3899870,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.742669+00:00
2019-05,1701990000,CN,중국,9974731,3809839,947,3319,3806520,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.742669+00:00
2019-06,1701990000,CN,중국,12003880,4545262,11860,22231,4523031,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.742669+00:00
2019-07,1701990000,CN,중국,13397077,5134050,167,1372,5132678,korea_customs_service,https://apis.data.go.kr/1220000/nitemtrade/getNitemtradeList,2026-08-10T15:32:46.742669+00:00
